Title,Year,Note
Leather Boys,1964,"5/7 CTV_2021-09-07 - Films and Documentaries curated by Electronic Artist, DJ, and Producer Juan Mendez aka Silent Servant @silentservant77"
Berlin Super 80,2005,"7/7 CTV_2021-09-07 - Films and Documentaries curated by Electronic Artist, DJ, and Producer Juan Mendez aka Silent Servant @silentservant77"
Lifeforce,1985,1/11 CTV_2021-09-03 - Alien Sex Returns: More Horny Sci-Fi Sinema!& 2/9 CTV_2020-11-27 - Space Trash: Alien Rip-Offs & Other Schlock! w/ guest curator @theodore_ted_logan
Wham Bam Thank You Space Man,1975,2/11 CTV_2021-09-03 - Alien Sex Returns: More Horny Sci-Fi Sinema!& 3/10 CTV_2021-02-26 - Alien Sex: Horny Sci-Fi Sinema!
Dr. Alien,1989,3/11 CTV_2021-09-03 - Alien Sex Returns: More Horny Sci-Fi Sinema!& 2/10 CTV_2021-02-26 - Alien Sex: Horny Sci-Fi Sinema!
E.T.: The Vagina,1996,4/11 CTV_2021-09-03 - Alien Sex Returns: More Horny Sci-Fi Sinema!
Flesh Gordon meets the Cosmic Cheerleaders,1990,5/11 CTV_2021-09-03 - Alien Sex Returns: More Horny Sci-Fi Sinema!
Xtro,1982,6/11 CTV_2021-09-03 - Alien Sex Returns: More Horny Sci-Fi Sinema!& 4/10 CTV_2021-02-26 - Alien Sex: Horny Sci-Fi Sinema!& 4/9 CTV_2020-11-27 - Space Trash: Alien Rip-Offs & Other Schlock! w/ guest curator @theodore_ted_logan& 1/8 CTV_2020-07-31 - It’s CREATURE FEATURE FRIDAY! Strange and crazy horror from the beyond!
Slave Girls from Beyond Infinity,1987,7/11 CTV_2021-09-03 - Alien Sex Returns: More Horny Sci-Fi Sinema!
Under the Skin,2013,8/11 CTV_2021-09-03 - Alien Sex Returns: More Horny Sci-Fi Sinema!
Barbarella,1968,9/11 CTV_2021-09-03 - Alien Sex Returns: More Horny Sci-Fi Sinema!
Alien from L.A.,1988,10/11 CTV_2021-09-03 - Alien Sex Returns: More Horny Sci-Fi Sinema!
"Salt, Saliva, Sperm And Sweat",1988,1/9 CTV_2021-09-02 - The Weirdness!
Angel Mine,1978,2/9 CTV_2021-09-02 - The Weirdness!
Conspirators Of Pleasure,1997,3/9 CTV_2021-09-02 - The Weirdness!
With A Friend Like Harry,2000,5/9 CTV_2021-09-02 - The Weirdness!
"My Son My Son, What Have Ye Done?",2009,6/9 CTV_2021-09-02 - The Weirdness!
Ed And His Dead Mother,1993,7/9 CTV_2021-09-02 - The Weirdness!
Static,1985,8/9 CTV_2021-09-02 - The Weirdness!& 5/7 CTV_2021-03-08 - Weird Imaginations!
Death Laid An Egg,1968,9/9 CTV_2021-09-02 - The Weirdness!
Bad Lieutenant: Port of Call New Orleans,2009,"1/7 CTV_2021-09-01 - We celebrate one of our favorite places in the world: NEW ORLEANS! Please, if you have the means to donate we've included some organizations in our Linktree to help those affected by Hurricane Ida"
Hard Target,1993,"2/7 CTV_2021-09-01 - We celebrate one of our favorite places in the world: NEW ORLEANS! Please, if you have the means to donate we've included some organizations in our Linktree to help those affected by Hurricane Ida& 6/9 CTV_2021-03-26 - Testicular Tornados: 80’s/90’s Hollywood Produced Action Excess"
J.D.'s Revenge,1976,"3/7 CTV_2021-09-01 - We celebrate one of our favorite places in the world: NEW ORLEANS! Please, if you have the means to donate we've included some organizations in our Linktree to help those affected by Hurricane Ida"
Angel Heart,1987,"4/7 CTV_2021-09-01 - We celebrate one of our favorite places in the world: NEW ORLEANS! Please, if you have the means to donate we've included some organizations in our Linktree to help those affected by Hurricane Ida& 3/8 CTV_2021-02-15 - Mardi Gras Monday!  (Playing all day tomorrow on ACTUAL Mardi Gras too!) New Orleans Films: Co-Curated by NOLA wizards @rustylazer & @caseesparros"
The Beyond,1981,"5/7 CTV_2021-09-01 - We celebrate one of our favorite places in the world: NEW ORLEANS! Please, if you have the means to donate we've included some organizations in our Linktree to help those affected by Hurricane Ida& 2/9 CTV_2021-06-17 - HAPPY BIRTHDAY LUCIO FULCI 💀🎉& 5/8 CTV_2021-02-15 - Mardi Gras Monday!  (Playing all day tomorrow on ACTUAL Mardi Gras too!) New Orleans Films: Co-Curated by NOLA wizards @rustylazer & @caseesparros& 3/9 CTV_2020-10-26 - Supernatural Terrors!"
Down By Law,1986,"6/7 CTV_2021-09-01 - We celebrate one of our favorite places in the world: NEW ORLEANS! Please, if you have the means to donate we've included some organizations in our Linktree to help those affected by Hurricane Ida& 7/8 CTV_2021-02-15 - Mardi Gras Monday!  (Playing all day tomorrow on ACTUAL Mardi Gras too!) New Orleans Films: Co-Curated by NOLA wizards @rustylazer & @caseesparros"
Stranded In Canton,2005,"7/7 CTV_2021-09-01 - We celebrate one of our favorite places in the world: NEW ORLEANS! Please, if you have the means to donate we've included some organizations in our Linktree to help those affected by Hurricane Ida& 2/8 CTV_2021-02-15 - Mardi Gras Monday!  (Playing all day tomorrow on ACTUAL Mardi Gras too!) New Orleans Films: Co-Curated by NOLA wizards @rustylazer & @caseesparros"
Gap-toothed Women,1987,1/34 CTV_2021-08-31 - 20+ hours of Les Blank films!
Garlic is as Good as 10 Mothers,1980,2/34 CTV_2021-08-31 - 20+ hours of Les Blank films!
Always for Pleasure,1978,3/34 CTV_2021-08-31 - 20+ hours of Les Blank films!
Burden of Dreams,1982,4/34 CTV_2021-08-31 - 20+ hours of Les Blank films!& 9/10 CTV_2021-01-11 - HERZOG.
The Blues Accordin’ to Lightnin’ Hopkins,1970,5/34 CTV_2021-08-31 - 20+ hours of Les Blank films!& 1/10 CTV_2021-03-22 - Concert Cinema!& 8/9 CTV_2020-06-13 - Tune in at
Thailand Moment,2015,6/34 CTV_2021-08-31 - 20+ hours of Les Blank films!
"God Respects us when we work, but loves us when we Dance",1968,7/34 CTV_2021-08-31 - 20+ hours of Les Blank films!
Chulas Fronteras,1976,8/34 CTV_2021-08-31 - 20+ hours of Les Blank films!
Hot Pepper,1973,9/34 CTV_2021-08-31 - 20+ hours of Les Blank films!
Werner Herzog Eats his Shoe,1980,10/34 CTV_2021-08-31 - 20+ hours of Les Blank films!
Dry Wood,1973,11/34 CTV_2021-08-31 - 20+ hours of Les Blank films!
Sworn to the Drum,1995,12/34 CTV_2021-08-31 - 20+ hours of Les Blank films!
Ziveli! Medicine for the Heart,1987,13/34 CTV_2021-08-31 - 20+ hours of Les Blank films!
Chicken Real,1970,14/34 CTV_2021-08-31 - 20+ hours of Les Blank films!
J’ai ete au bal,1980,15/34 CTV_2021-08-31 - 20+ hours of Les Blank films!
The Sun’s Gonna Shine,2014,16/34 CTV_2021-08-31 - 20+ hours of Les Blank films!
Cigarette Blues,1985,17/34 CTV_2021-08-31 - 20+ hours of Les Blank films!
A Well-Spent Life,1972,18/34 CTV_2021-08-31 - 20+ hours of Les Blank films!
In Heaven There is No Beer?,1984,19/34 CTV_2021-08-31 - 20+ hours of Les Blank films!
Del Mero Corazon,1979,20/34 CTV_2021-08-31 - 20+ hours of Les Blank films!
Lightnin’ Les,1969,21/34 CTV_2021-08-31 - 20+ hours of Les Blank films!
"Mr. Charlie, Your Rollin’ Mill is Burnin’ Down",1969,22/34 CTV_2021-08-31 - 20+ hours of Les Blank films!
All in this Tea,2007,23/34 CTV_2021-08-31 - 20+ hours of Les Blank films!
A Poem is a Naked Person,1974,24/34 CTV_2021-08-31 - 20+ hours of Les Blank films!
"Yum, Yum, Yum! A Taste of Cajun and Creole Cooking",1990,25/34 CTV_2021-08-31 - 20+ hours of Les Blank films!
Innocents Abroad,1991,26/34 CTV_2021-08-31 - 20+ hours of Les Blank films!
"Julie, Old Time Tales of the Blue Ridge",1995,27/34 CTV_2021-08-31 - 20+ hours of Les Blank films!
Running Around like a Chicken with its Head Cut Off,1960,28/34 CTV_2021-08-31 - 20+ hours of Les Blank films!
My Old Fiddle :  A Visit with Tommy Jarrell in the Blue Ridge,1995,29/34 CTV_2021-08-31 - 20+ hours of Les Blank films!
Puamana,1991,30/34 CTV_2021-08-31 - 20+ hours of Les Blank films!
Treasure of the Lisu,2010,31/34 CTV_2021-08-31 - 20+ hours of Les Blank films!
The Maestro – King of the Cowboys,1995,32/34 CTV_2021-08-31 - 20+ hours of Les Blank films!
Spend It All,1972,33/34 CTV_2021-08-31 - 20+ hours of Les Blank films!
Dizzy Gillespie,1965,34/34 CTV_2021-08-31 - 20+ hours of Les Blank films!
To Live and Die in LA,1985,1/18 CTV_2021-08-27 - LA in Cinema!  18 Films!
The Killing of America,1981,5/18 CTV_2021-08-27 - LA in Cinema!  18 Films!
The Exiles,1961,"6/18 CTV_2021-08-27 - LA in Cinema!  18 Films!& 4/10 CTV_2021-06-28 - Reality Fiction:  Films that use Non-Actors to reimagine the language of cinema.& 2/8 CTV_2021-01-18 - SLICE OF LIFE.& 4/6 CTV_2020-12-28 - Gestures of Destitution : Slums, Gangs, and Stories of Impoverished Youth"
Short Cuts,1993,7/18 CTV_2021-08-27 - LA in Cinema!  18 Films!& 7/7 CTV_2021-01-21 - 90’s Auteur Films!
Wattstax,1973,8/18 CTV_2021-08-27 - LA in Cinema!  18 Films!& 4/9 CTV_2020-06-13 - Tune in at
Falling Down,1993,9/18 CTV_2021-08-27 - LA in Cinema!  18 Films!
Timecode,2000,10/18 CTV_2021-08-27 - LA in Cinema!  18 Films!
Los Angeles Plays Itself,2003,"11/18 CTV_2021-08-27 - LA in Cinema!  18 Films!& 8/8 CTV_2020-10-05 - Tales From LA: Noirs, Jazz, Poets, Nightmares & Cinema.& 11/11 CTV_2020-08-17 - Documentary Monday!"
Hollywood Shuffle,1987,12/18 CTV_2021-08-27 - LA in Cinema!  18 Films!
The Day of the Locust,1975,13/18 CTV_2021-08-27 - LA in Cinema!  18 Films!
Model Shop,1969,"15/18 CTV_2021-08-27 - LA in Cinema!  18 Films!& 6/8 CTV_2020-10-05 - Tales From LA: Noirs, Jazz, Poets, Nightmares & Cinema."
The Player,1992,16/18 CTV_2021-08-27 - LA in Cinema!  18 Films!
Let’s Get Lost,1988,17/18 CTV_2021-08-27 - LA in Cinema!  18 Films!
The Long Goodbye,1973,18/18 CTV_2021-08-27 - LA in Cinema!  18 Films!
Eraserhead,1977,"2/9 CTV_2021-08-26 - THE BODY. Films and shorts curated by Nia DaCosta, director of the latest Candyman film, opens this Friday! Go see it! @candymanmovie"
Passionless Moments,1985,"3/9 CTV_2021-08-26 - THE BODY. Films and shorts curated by Nia DaCosta, director of the latest Candyman film, opens this Friday! Go see it! @candymanmovie"
The Fly,1986,"4/9 CTV_2021-08-26 - THE BODY. Films and shorts curated by Nia DaCosta, director of the latest Candyman film, opens this Friday! Go see it! @candymanmovie& 9/9 CTV_2021-04-06 - METAMORPHOSIS – Films of human and supernatural change; guest curation by Aly Tipacti @aly_tipacti& 6/12 CTV_2021-03-11 - CRONENBERG!"
Kitchen Sink,1989,"5/9 CTV_2021-08-26 - THE BODY. Films and shorts curated by Nia DaCosta, director of the latest Candyman film, opens this Friday! Go see it! @candymanmovie"
Voodoo in My Blood,2016,"6/9 CTV_2021-08-26 - THE BODY. Films and shorts curated by Nia DaCosta, director of the latest Candyman film, opens this Friday! Go see it! @candymanmovie"
Slither,2006,"7/9 CTV_2021-08-26 - THE BODY. Films and shorts curated by Nia DaCosta, director of the latest Candyman film, opens this Friday! Go see it! @candymanmovie"
Evil Dead,2013,"9/9 CTV_2021-08-26 - THE BODY. Films and shorts curated by Nia DaCosta, director of the latest Candyman film, opens this Friday! Go see it! @candymanmovie"
Me Broni Ba,2009,"1/13 CTV_2021-08-25 - THE ECSTATIC EYE and ALCHEMICAL works within the institutional landscape: Features, Documentaries, and Shorts curated by Artist and Film Composer behind the new Candyman film Robert Aiki Aubrey Lowe @kirlianauras"
The Sky Trembles and the Earth Is Afraid and the Two Eyes Are Not Brothers,2015,"2/13 CTV_2021-08-25 - THE ECSTATIC EYE and ALCHEMICAL works within the institutional landscape: Features, Documentaries, and Shorts curated by Artist and Film Composer behind the new Candyman film Robert Aiki Aubrey Lowe @kirlianauras"
Shade,2012,"3/13 CTV_2021-08-25 - THE ECSTATIC EYE and ALCHEMICAL works within the institutional landscape: Features, Documentaries, and Shorts curated by Artist and Film Composer behind the new Candyman film Robert Aiki Aubrey Lowe @kirlianauras"
Passageways,2007,"4/13 CTV_2021-08-25 - THE ECSTATIC EYE and ALCHEMICAL works within the institutional landscape: Features, Documentaries, and Shorts curated by Artist and Film Composer behind the new Candyman film Robert Aiki Aubrey Lowe @kirlianauras"
Wodaabe : Herdsmen of the Sun,1989,"5/13 CTV_2021-08-25 - THE ECSTATIC EYE and ALCHEMICAL works within the institutional landscape: Features, Documentaries, and Shorts curated by Artist and Film Composer behind the new Candyman film Robert Aiki Aubrey Lowe @kirlianauras"
Mur Murs,1981,"6/13 CTV_2021-08-25 - THE ECSTATIC EYE and ALCHEMICAL works within the institutional landscape: Features, Documentaries, and Shorts curated by Artist and Film Composer behind the new Candyman film Robert Aiki Aubrey Lowe @kirlianauras"
A Song Often Played on the Radio,2019,"7/13 CTV_2021-08-25 - THE ECSTATIC EYE and ALCHEMICAL works within the institutional landscape: Features, Documentaries, and Shorts curated by Artist and Film Composer behind the new Candyman film Robert Aiki Aubrey Lowe @kirlianauras"
Forest of Bliss,1986,"8/13 CTV_2021-08-25 - THE ECSTATIC EYE and ALCHEMICAL works within the institutional landscape: Features, Documentaries, and Shorts curated by Artist and Film Composer behind the new Candyman film Robert Aiki Aubrey Lowe @kirlianauras"
Shift,1982,"9/13 CTV_2021-08-25 - THE ECSTATIC EYE and ALCHEMICAL works within the institutional landscape: Features, Documentaries, and Shorts curated by Artist and Film Composer behind the new Candyman film Robert Aiki Aubrey Lowe @kirlianauras"
Small Axe : Lovers Rock,2020,"10/13 CTV_2021-08-25 - THE ECSTATIC EYE and ALCHEMICAL works within the institutional landscape: Features, Documentaries, and Shorts curated by Artist and Film Composer behind the new Candyman film Robert Aiki Aubrey Lowe @kirlianauras"
Last and First Men,2020,"11/13 CTV_2021-08-25 - THE ECSTATIC EYE and ALCHEMICAL works within the institutional landscape: Features, Documentaries, and Shorts curated by Artist and Film Composer behind the new Candyman film Robert Aiki Aubrey Lowe @kirlianauras"
Sleeping district,2014,"12/13 CTV_2021-08-25 - THE ECSTATIC EYE and ALCHEMICAL works within the institutional landscape: Features, Documentaries, and Shorts curated by Artist and Film Composer behind the new Candyman film Robert Aiki Aubrey Lowe @kirlianauras"
Bouquet’s 1-10,1995,"13/13 CTV_2021-08-25 - THE ECSTATIC EYE and ALCHEMICAL works within the institutional landscape: Features, Documentaries, and Shorts curated by Artist and Film Composer behind the new Candyman film Robert Aiki Aubrey Lowe @kirlianauras"
Few of Us,1996,2/7 CTV_2021-08-23 - MORE Sloooow Cinema
Damnation,1988,4/7 CTV_2021-08-23 - MORE Sloooow Cinema& 1/8 CTV_2021-03-01 - Gazing Into The Void : Lush Films Composed of Frigid Long Takes
Horse Money,2014,5/7 CTV_2021-08-23 - MORE Sloooow Cinema
From the East,1993,6/7 CTV_2021-08-23 - MORE Sloooow Cinema
Mother and Son,1997,7/7 CTV_2021-08-23 - MORE Sloooow Cinema
The Funhouse,1981,1/9 CTV_2021-08-20 - AMUSEMENT HELL!
Kiss Meets the Phantom of the Park,1978,2/9 CTV_2021-08-20 - AMUSEMENT HELL!
Reflections of Evil,2002,3/9 CTV_2021-08-20 - AMUSEMENT HELL!
Terror on Tour,1980,"4/9 CTV_2021-08-20 - AMUSEMENT HELL!& 7/10 CTV_2020-09-11 - Rock & Roll Death Party!  A selection of cult, VHS rarities and so-bad-but-great filck-a-roonies all based around hard rock and heavy fucking metal!  Shout out to our homie @theodore_ted_logan for some of the great selects in here!"
Carnival of Blood,1970,5/9 CTV_2021-08-20 - AMUSEMENT HELL!
Ghoulies II,1987,6/9 CTV_2021-08-20 - AMUSEMENT HELL!
Escape from Tomorrow Land,2013,7/9 CTV_2021-08-20 - AMUSEMENT HELL!
Rollercoaster,1977,8/9 CTV_2021-08-20 - AMUSEMENT HELL!
Something Wicked This Way Comes,1983,"9/9 CTV_2021-08-20 - AMUSEMENT HELL!& 5/16 CTV_2020-09-25 - WTF Kids: Strange Children’s Films from the 60’s, 70’s, 80’s & 90’s!"
Scream for Help,1984,1/8 CTV_2021-08-19 - DAD JAIL! Bad dads all night long!  Curated by our mannequin dad @worsethanjail
The Mutilator,1984,2/8 CTV_2021-08-19 - DAD JAIL! Bad dads all night long!  Curated by our mannequin dad @worsethanjail
Howl of the Devil,1987,3/8 CTV_2021-08-19 - DAD JAIL! Bad dads all night long!  Curated by our mannequin dad @worsethanjail
The Toolbox Murders,1978,4/8 CTV_2021-08-19 - DAD JAIL! Bad dads all night long!  Curated by our mannequin dad @worsethanjail
Degrassi Junior High: The Cover-Up,1987,5/8 CTV_2021-08-19 - DAD JAIL! Bad dads all night long!  Curated by our mannequin dad @worsethanjail
The Stepfather,1987,6/8 CTV_2021-08-19 - DAD JAIL! Bad dads all night long!  Curated by our mannequin dad @worsethanjail
Twin Peaks: Fire Walk with Me,1992,7/8 CTV_2021-08-19 - DAD JAIL! Bad dads all night long!  Curated by our mannequin dad @worsethanjail
David,1988,8/8 CTV_2021-08-19 - DAD JAIL! Bad dads all night long!  Curated by our mannequin dad @worsethanjail
Freeway,1996,2/8 CTV_2021-08-18 - POST GRUNGE ANGST!
S.F.W.,1994,4/8 CTV_2021-08-18 - POST GRUNGE ANGST!
Nowhere,1997,5/8 CTV_2021-08-18 - POST GRUNGE ANGST!
Idle Hands,1999,6/8 CTV_2021-08-18 - POST GRUNGE ANGST!
Love and a .45,1994,7/8 CTV_2021-08-18 - POST GRUNGE ANGST!
SubUrbia,1996,8/8 CTV_2021-08-18 - POST GRUNGE ANGST!
Payday,1973,1/8 CTV_2021-08-16 - The Country Show!
Fool For Love,1985,4/8 CTV_2021-08-16 - The Country Show!
Coal Miner's Daughter,1980,6/8 CTV_2021-08-16 - The Country Show!
Desert Hearts,1985,7/8 CTV_2021-08-16 - The Country Show!
Friday the 13th: The Final Chapter,1984,1/12 CTV_2021-08-13 - FRIDAY THE 13TH! (in no particular order)
Friday the 13th Part VI: Jason Lives,1986,2/12 CTV_2021-08-13 - FRIDAY THE 13TH! (in no particular order)
Jason Goes to Hell: The Final Friday,1993,3/12 CTV_2021-08-13 - FRIDAY THE 13TH! (in no particular order)& 5/9 CTV_2021-01-29 - CRAZY SEQUELS! Co-curated by @theodore_ted_logan
Jason X,2001,4/12 CTV_2021-08-13 - FRIDAY THE 13TH! (in no particular order)
Freddy Vs. Jason,2003,5/12 CTV_2021-08-13 - FRIDAY THE 13TH! (in no particular order)
Friday the 13th,1980,6/12 CTV_2021-08-13 - FRIDAY THE 13TH! (in no particular order)
Friday the 13th Part 2,1981,7/12 CTV_2021-08-13 - FRIDAY THE 13TH! (in no particular order)
Friday the 13th Part III,1982,8/12 CTV_2021-08-13 - FRIDAY THE 13TH! (in no particular order)
Saturday the 14th,1981,9/12 CTV_2021-08-13 - FRIDAY THE 13TH! (in no particular order)
Friday the 13th: A New Beginning,1985,10/12 CTV_2021-08-13 - FRIDAY THE 13TH! (in no particular order)
Friday the 13th Part VII: The New Blood,1988,11/12 CTV_2021-08-13 - FRIDAY THE 13TH! (in no particular order)& 3/11 CTV_2021-06-18 - POWERS OF THE MIND!
Friday the 13th Part VIII: Jason Takes Manhattan,1989,12/12 CTV_2021-08-13 - FRIDAY THE 13TH! (in no particular order)
Style Wars,1983,"1/9 CTV_2021-08-12 - Old New York: The Pre-Giuliani Years (Part 2)& 9/11 CTV_2021-02-03 - HIP-HOP CINEMA THROUGH THE 80’s & 90’s!& 4/9 CTV_2020-07-01 - An evening of documentaries centered around the streets, communities and suppressive systems.& 5/5 CTV_2020-05-07 - As a part of our NY No-Wave / Transgressive cinema screening series, we present to you: The Art of Getting Over: NY Street 1976 - 1983.  When the punk and no-wave scene started to mix with the hip-hop scene and history brewed"
Bad Lieutenant,1992,3/9 CTV_2021-08-12 - Old New York: The Pre-Giuliani Years (Part 2)
Basket Case,1982,4/9 CTV_2021-08-12 - Old New York: The Pre-Giuliani Years (Part 2)& 1/10 CTV_2020-09-04 - 42nd STREET FOREVER: The Dirty Deuce.  70’s/80’s NYC. Times Square. The Mecca of Cinema Sleaze. Not for the faint of heart!
Nighthawks,1981,5/9 CTV_2021-08-12 - Old New York: The Pre-Giuliani Years (Part 2)
Smithereens,1982,6/9 CTV_2021-08-12 - Old New York: The Pre-Giuliani Years (Part 2)& 11/12 CTV_2021-07-02 - PUNKS IN CINEMA (Redux)& 8/8 CTV_2020-11-12 - WOMEN IN PUNK!  @clavendr is back on lead guitar to riff together another electric program revolving around female punks in cinema! (Swipe for trailer)
Night of the Juggler,1980,7/9 CTV_2021-08-12 - Old New York: The Pre-Giuliani Years (Part 2)
Driller Killer,1979,4/9 CTV_2021-08-11 - TWO NIGHTS!  Old New York: The Pre-Giuliani Years (Part 1)& 4/9 CTV_2021-04-23 - Freaks & Maniacs
Underground U.S.A.,1980,5/9 CTV_2021-08-11 - TWO NIGHTS!  Old New York: The Pre-Giuliani Years (Part 1)
Fear City,1984,6/9 CTV_2021-08-11 - TWO NIGHTS!  Old New York: The Pre-Giuliani Years (Part 1)
Mondo New York,1988,7/9 CTV_2021-08-11 - TWO NIGHTS!  Old New York: The Pre-Giuliani Years (Part 1)& 3/7 CTV_2020-11-09 - Art House Monday! We will be showing an eclectic mix of film's shown at Chicago's Legendary Music Box Theater circa the 1980's Calendars!
Mixed Blood,1984,8/9 CTV_2021-08-11 - TWO NIGHTS!  Old New York: The Pre-Giuliani Years (Part 1)& 1/7 CTV_2020-11-09 - Art House Monday! We will be showing an eclectic mix of film's shown at Chicago's Legendary Music Box Theater circa the 1980's Calendars!
News from Home,1977,9/9 CTV_2021-08-11 - TWO NIGHTS!  Old New York: The Pre-Giuliani Years (Part 1)
Pulse,2001,"2/8 CTV_2021-08-10 - Japanese Horror Classics& 2/6 CTV_2021-04-22 - Guest Programmer Eugene Kotlyarenko aka @madabouteug presents a special lineup of transgressive and anti-social behaviors straight from Nippon, to celebrate the Japanese premiere of his movie SPREE (rd)!"
Onibaba,1964,3/8 CTV_2021-08-10 - Japanese Horror Classics
Haunted Turkish Bathhouse,1975,4/8 CTV_2021-08-10 - Japanese Horror Classics
Orgies of Edo,1969,5/8 CTV_2021-08-10 - Japanese Horror Classics
Ringu,1998,6/8 CTV_2021-08-10 - Japanese Horror Classics
Kwaidan,1965,7/8 CTV_2021-08-10 - Japanese Horror Classics& 6/7 CTV_2021-06-22 - ANTHOLOGY FILMS!& 6/7 CTV_2020-06-18 - It’s Thriller Thursday
Jigoku,1960,8/8 CTV_2021-08-10 - Japanese Horror Classics& 3/5 CTV_2021-07-08 - The Guinea Pig Films and other Japanese Body Horror/ Gore Films
Teorema,1968,1/7 CTV_2021-08-09 - Mysterious Visitors – Strangers who Observe and Disrupt the Natural Order& 10/12 CTV_2021-05-12 - 24 hours of Films by Pier Paolo Pasolini& 3/7 CTV_2020-09-15 - Nuclear Family Crises
High Plains Drifter,1973,3/7 CTV_2021-08-09 - Mysterious Visitors – Strangers who Observe and Disrupt the Natural Order
Visitor Q,2001,4/7 CTV_2021-08-09 - Mysterious Visitors – Strangers who Observe and Disrupt the Natural Order
Sex Lies and Videotape,1989,5/7 CTV_2021-08-09 - Mysterious Visitors – Strangers who Observe and Disrupt the Natural Order
Almanac of Fall,1984,6/7 CTV_2021-08-09 - Mysterious Visitors – Strangers who Observe and Disrupt the Natural Order
True Stories,1986,"7/7 CTV_2021-08-09 - Mysterious Visitors – Strangers who Observe and Disrupt the Natural Order& 8/10 CTV_2021-02-24 - Music Narratives: Films Based Off Albums, Songs or Artist Concepts."
"PRE-SHOW - Rusalochka, Ivan Aksenchuk",1968,1/10 CTV_2021-08-06 - @la.collectionneuse presents: CHLORINE
La Piscine,1969,2/10 CTV_2021-08-06 - @la.collectionneuse presents: CHLORINE
Jennifer’s Body,2009,3/10 CTV_2021-08-06 - @la.collectionneuse presents: CHLORINE
Cat People,1982,4/10 CTV_2021-08-06 - @la.collectionneuse presents: CHLORINE& 7/9 CTV_2021-05-07 - Geneva Jacuzzi's Non-Dimensional Movie Mix! Curated by our very special guest @genevaxjacuzzi !!!& 4/9 CTV_2021-04-06 - METAMORPHOSIS – Films of human and supernatural change; guest curation by Aly Tipacti @aly_tipacti& 4/8 CTV_2020-08-13 - La Créature Femelle!
Water Lilies,2007,5/10 CTV_2021-08-06 - @la.collectionneuse presents: CHLORINE
The Swimmer,1968,6/10 CTV_2021-08-06 - @la.collectionneuse presents: CHLORINE& 8/10 CTV_2020-12-14 - Suburban Hell.
Swimming Pool,2003,7/10 CTV_2021-08-06 - @la.collectionneuse presents: CHLORINE
Deep End,1970,8/10 CTV_2021-08-06 - @la.collectionneuse presents: CHLORINE
Sink Or Swim,2018,9/10 CTV_2021-08-06 - @la.collectionneuse presents: CHLORINE
You’re Sleeping Nicole?,2014,10/10 CTV_2021-08-06 - @la.collectionneuse presents: CHLORINE
Mystery VHS Film #1,1984,1/10 CTV_2021-08-05 - VHS Nightmares (Redux): Shot On Video Horror Films from 1982-1992
BoardingHouse,1982,3/10 CTV_2021-08-05 - VHS Nightmares (Redux): Shot On Video Horror Films from 1982-1992& 2/10 CTV_2020-10-29 - VHS Nightmares: Shot On Video Horror Films from 1982-1992
Video Violence,1987,4/10 CTV_2021-08-05 - VHS Nightmares (Redux): Shot On Video Horror Films from 1982-1992& 1/10 CTV_2020-10-29 - VHS Nightmares: Shot On Video Horror Films from 1982-1992
555,1988,5/10 CTV_2021-08-05 - VHS Nightmares (Redux): Shot On Video Horror Films from 1982-1992& 3/10 CTV_2020-10-29 - VHS Nightmares: Shot On Video Horror Films from 1982-1992
The Burning Moon,1992,6/10 CTV_2021-08-05 - VHS Nightmares (Redux): Shot On Video Horror Films from 1982-1992& 7/10 CTV_2020-10-29 - VHS Nightmares: Shot On Video Horror Films from 1982-1992
Video Violence 2,1988,7/10 CTV_2021-08-05 - VHS Nightmares (Redux): Shot On Video Horror Films from 1982-1992& 9/10 CTV_2020-10-29 - VHS Nightmares: Shot On Video Horror Films from 1982-1992
Violent Shit,1989,8/10 CTV_2021-08-05 - VHS Nightmares (Redux): Shot On Video Horror Films from 1982-1992& 5/10 CTV_2020-10-29 - VHS Nightmares: Shot On Video Horror Films from 1982-1992
Mystery VHS Film #2,1987,10/10 CTV_2021-08-05 - VHS Nightmares (Redux): Shot On Video Horror Films from 1982-1992
Prevenge,2016,"2/8 CTV_2021-08-04 - @finalgirlsfilmfest presents: Women on the Verge: Genre Cinema Directed by Women. The program explores the social, psychological, and emotional transgressions of women living under the constraints of toxic patriarchy"
Kissed,1996,"4/8 CTV_2021-08-04 - @finalgirlsfilmfest presents: Women on the Verge: Genre Cinema Directed by Women. The program explores the social, psychological, and emotional transgressions of women living under the constraints of toxic patriarchy"
The Invitation,2015,"5/8 CTV_2021-08-04 - @finalgirlsfilmfest presents: Women on the Verge: Genre Cinema Directed by Women. The program explores the social, psychological, and emotional transgressions of women living under the constraints of toxic patriarchy"
Most Beautiful Island,2017,"6/8 CTV_2021-08-04 - @finalgirlsfilmfest presents: Women on the Verge: Genre Cinema Directed by Women. The program explores the social, psychological, and emotional transgressions of women living under the constraints of toxic patriarchy"
In My Skin,2002,"7/8 CTV_2021-08-04 - @finalgirlsfilmfest presents: Women on the Verge: Genre Cinema Directed by Women. The program explores the social, psychological, and emotional transgressions of women living under the constraints of toxic patriarchy"
Wolf's Hole,1987,"8/8 CTV_2021-08-04 - @finalgirlsfilmfest presents: Women on the Verge: Genre Cinema Directed by Women. The program explores the social, psychological, and emotional transgressions of women living under the constraints of toxic patriarchy"
Black Rose Mansion,1969,3/7 CTV_2021-08-02 - Obsession!
